num,open,high,low,close,Volume,ma5,ma10,ma20,ma60,ma120,gain,loss,sumgain,sumloss,avggain,avgloss,rs,rsi,EMA12,EMA26,macd
9945,44864.28,45300,44234.29,44594.14,1773693757,45223.36,45749.919,46604.3195,47577.3815,47672.2385,270.14,0,3018.41,1180.74,230.8649047,125.3643413,1.841551612,64.80795929,43926.00063,43837.54331,88.45731471
9944,45055.5,45199,44764.81,44864.29,515437204.9,45381.624,45989.183,46727.541,47617.49417,47691.08225,191.22,0,2888.26,1180.74,228.0331258,116.4097455,1.958883467,66.20346792,44099.76976,44009.66725,90.10251416
9943,44825.73,45159.39,44680,45055.51,672494430.7,45481.108,46188.883,46838.846,47649.52333,47707.74617,0,229.77,2699.78,1410.51,211.7450454,124.5069065,1.700669074,62.97213866,44211.45595,44153.54459,57.91135813
9942,45641.5,45797.58,44377.55,44825.72,1500955302,45706.362,46452.732,46964.7675,47694.07783,47727.25083,815.77,0,3503.98,1410.51,254.889685,115.6135561,2.204669536,68.7955345,44431.46273,44317.38514,114.0775879
9941,45729.79,45799,45450.01,45641.49,353231619.6,46022.764,46647.896,47086.577,47719.93583,47737.88675,88.29,0,3288.29,1410.51,242.9897075,107.3554449,2.26341298,69.3572341,44631.20539,44527.63512,103.5702667
9940,45655.6,45845,45600,45729.33,303629634.5,46276.478,46813.916,47206.088,47745.53267,47747.6385,0,74.19,3288.29,1048.9,225.6332998,104.9864846,2.149165207,68.24555289,44788.80456,44707.08647,81.71808893
9939,45552.92,45782.55,45345.4,45655.6,568074349.2,46596.742,47014.598,47335.81,47778.27267,47757.74025,0,102.68,2663.68,1151.58,209.5166356,104.8217357,1.998789986,66.65321664,44906.36078,44845.4057,60.9550781
9938,45952,46080,45111,45552.92,1495843293,46896.658,47197.705,47466.124,47811.2405,47770.36333,399.08,0,3062.76,952.96,223.0568759,97.33446883,2.291653497,69.62013162,45067.22835,44983.81554,83.41281537
9937,47223.51,47265.03,45803.01,45954.95,1772303406,47199.102,47358.079,47574.7715,47836.87233,47780.43833,1271.51,0,4334.27,947.66,297.9463848,90.38200677,3.296523228,76.72536731,45398.96399,45226.95292,172.0110717
9936,46998.36,47294,46920.6,47223.51,276213991.3,47273.028,47401.39,47614.0295,47837.41383,47778.93408,0,225.15,4334.27,1133.91,276.6645001,100.008292,2.76641561,73.44955779,45645.02491,45517.43777,127.5871461
9935,47256.92,47345,46786,46998.36,667636466.1,47351.354,47458.72,47656.911,47845.344,47780.05025,258.56,0,4353.71,1133.91,275.3713215,92.86484257,2.965291427,74.78117262,45893.00877,45764.42455,128.5842234
9934,47052.5,47378.95,46982,47256.91,360205437.5,47432.454,47465.899,47686.592,47848.00483,47778.63575,0,204.42,4353.71,836.21,255.7019414,100.8330681,2.535893693,71.71860676,46071.39204,45978.89701,92.49502661
9933,47464.22,47619.8,46840,47052.45,988995226.4,47498.752,47488.809,47734.376,47854.8415,47779.5725,411.72,0,4570.42,836.21,266.8460885,93.6307061,2.849984792,74.02587143,46285.67326,46174.56448,111.1087832
9932,47593.14,47675,47355,47464.22,238029462.7,47517.056,47476.803,47754.604,47859.16217,47772.57075,128.92,0,3835.21,836.21,256.994225,86.94279852,2.955900079,74.72130286,46486.82199,46382.52265,104.2993408
9931,47389.99,47610,47262.01,47593.15,261087107.4,47529.752,47525.258,47771.974,47864.50967,47765.90167,0,203.15,3565.07,1039.36,238.6374947,95.24331291,2.505556426,71.47385811,46625.77092,46553.72333,72.04759034
9930,47662.42,47750,47350,47389.98,263165879.7,47566.086,47598.26,47816.705,47870.12267,47758.21342,272.43,0,3646.28,1039.36,241.051245,88.44021913,2.725583987,73.15857048,46785.25539,46702.55974,82.69565336
